,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
124,-115800.10843932851,3889.768564868625,10310.0,0.14563654934229264,1595.7418247572853,1,4,2018-02-01 00:00:00,31,33.762176098286396
125,-115800.10843932851,3773.0755079225664,10320.0,0.2552470713242035,1595.7418247572853,1,1,2018-02-02 00:00:00,32,34.16526591302955
126,-115714.69527454594,3773.0755079225664,10320.0,0.2552470713242035,1681.1549895398591,1,2,2018-02-02 00:00:00,32,34.16526591302955
127,-111941.61976662338,3773.0755079225664,10320.0,0.2552470713242035,1681.1549895398591,1,3,2018-02-02 00:00:00,32,34.16526591302955
128,-122261.61976662338,3773.0755079225664,10320.0,0.2552470713242035,1681.1549895398591,1,4,2018-02-02 00:00:00,32,34.16526591302955
129,-122261.61976662338,3659.8832426848894,10330.0,0.317030420110994,1681.1549895398591,1,1,2018-02-03 00:00:00,33,34.57779131300437
130,-122175.17528834086,3659.8832426848894,10330.0,0.317030420110994,1767.5994678223701,1,2,2018-02-03 00:00:00,33,34.57779131300437
131,-118515.29204565598,3659.8832426848894,10330.0,0.317030420110994,1767.5994678223701,1,3,2018-02-03 00:00:00,33,34.57779131300437
132,-128845.29204565598,3659.8832426848894,10330.0,0.317030420110994,1767.5994678223701,1,4,2018-02-03 00:00:00,33,34.57779131300437
133,-128845.29204565598,3550.0867454043428,10340.0,0.2105353091000364,1767.5994678223701,1,1,2018-02-04 00:00:00,34,36.35217113651694
134,-128754.4116178147,3550.0867454043428,10340.0,0.2105353091000364,1858.4798956636625,1,2,2018-02-04 00:00:00,34,36.35217113651694
135,-125204.32487241035,3550.0867454043428,10340.0,0.2105353091000364,1858.4798956636625,1,3,2018-02-04 00:00:00,34,36.35217113651694
136,-135544.32487241033,3550.0867454043428,10340.0,0.2105353091000364,1858.4798956636625,1,4,2018-02-04 00:00:00,34,36.35217113651694
137,-135544.32487241033,3443.5841430422124,10350.0,0.10890436350655046,1858.4798956636625,1,1,2018-02-05 00:00:00,35,38.85913775349334
138,-135447.1770280266,3443.5841430422124,10350.0,0.10890436350655046,1955.627740047396,1,2,2018-02-05 00:00:00,35,38.85913775349334
139,-132003.5928849844,3443.5841430422124,10350.0,0.10890436350655046,1955.627740047396,1,3,2018-02-05 00:00:00,35,38.85913775349334
140,-142353.5928849844,3443.5841430422124,10350.0,0.10890436350655046,1955.627740047396,1,4,2018-02-05 00:00:00,35,38.85913775349334
141,-142353.5928849844,3340.276618750946,10360.0,0.10269715966831805,1955.627740047396,1,1,2018-02-06 00:00:00,36,40.78781720179125
142,-142251.62334197992,3340.276618750946,10360.0,0.10269715966831805,2057.597283051874,1,2,2018-02-06 00:00:00,36,40.78781720179125
143,-138911.34672322898,3340.276618750946,10360.0,0.10269715966831805,2057.597283051874,1,3,2018-02-06 00:00:00,36,40.78781720179125
144,-149271.34672322898,3340.276618750946,10360.0,0.10269715966831805,2057.597283051874,1,4,2018-02-06 00:00:00,36,40.78781720179125
145,-149271.34672322898,3240.0683201884176,10370.0,0.07364835838477152,2057.597283051874,1,1,2018-02-07 00:00:00,37,42.436071957643904
146,-149165.25654333486,3240.0683201884176,10370.0,0.07364835838477152,2163.687462945984,1,2,2018-02-07 00:00:00,37,42.436071957643904
147,-145925.18822314646,3240.0683201884176,10370.0,0.07364835838477152,2163.687462945984,1,3,2018-02-07 00:00:00,37,42.436071957643904
148,-156295.18822314646,3240.0683201884176,10370.0,0.07364835838477152,2163.687462945984,1,4,2018-02-07 00:00:00,37,42.436071957643904
149,-156295.18822314646,3142.866270582765,10380.0,0.05640404373594281,2163.687462945984,1,1,2018-02-08 00:00:00,38,42.87420821254737
